created_at,updated_at,cardnumber,first_name,middle_name,last_name,address1,address2,city,state,zip,country,phone,mobile,activation_date,cancellation_date,last_purchase_date,last_redemption_date,enrollment_status,birth_date,opt_in,gender,drivers_license,mothers_maiden,parent_card_number,trigger_group,first_transaction_location_id,first_transaction_date,dollars_redeemed,lifetime_points,first_transaction_cashier,location_enrolled,age,business_date,load_date,file_path
2022-07-29 11:39:41.000000 UTC,2024-12-19 11:39:41.000000 UTC,1108250358456454,Brian,,James,440 Hill Port Apt. 974,,New Laurie,PA,16795,USA,+1-339-642-1047x0952,762-332-8588x42474,2022-07-29,,2024-02-10,2024-01-21,1,1941-01-09,Y,2,PA46468984,Mcdonald,,3,S6238,2022-07-29,23,5559,9849,S2320,84,2024-12-19,2024-12-19 11:39:41.000000 UTC,gs://sheetz-data/loyalty/2024/12/19/batch_ec59fd9a.parquet
2024-03-10 11:39:41.000000 UTC,2024-12-19 11:39:41.000000 UTC,3360581236606701,Bernard,Karen,Perez,516 Joseph Crossing Suite 549,,Carsonstad,OH,43444,USA,+1-437-209-8593x17461,9477113826,2024-03-10,,2024-09-22,2024-08-26,1,1954-01-06,Y,2,OH87267850,Santiago,,4,S8814,2024-03-10,5,1515,1096,S6763,71,2024-12-19,2024-12-19 11:39:41.000000 UTC,gs://sheetz-data/loyalty/2024/12/19/batch_c0e40fab.parquet
2023-04-17 11:39:41.000000 UTC,2024-12-19 11:39:41.000000 UTC,1162547865621397,Patrick,,Bautista,261 Gilbert Harbors Apt. 537,,Sampsonstad,PA,15814,USA,+1-258-750-6431x71390,529.731.8393,2023-04-17,,2024-06-19,2024-04-11,1,2003-12-25,N,2,PA27129912,Schroeder,,5,S9751,2023-04-17,26,4854,1441,S7455,21,2024-12-19,2024-12-19 11:39:41.000000 UTC,gs://sheetz-data/loyalty/2024/12/19/batch_0b37154b.parquet
2021-08-24 11:39:41.000000 UTC,2024-12-19 11:39:41.000000 UTC,3304955344386300,Rachel,,Carlson,28421 David Knolls Apt. 950,,West Brian,OH,44725,USA,611.977.5891x78390,+1-400-376-6177x1159,2021-08-24,,2021-10-18,2021-08-25,1,1974-01-01,N,1,OH47346970,Martinez,,4,S5133,2021-08-24,1,326,2341,S8705,51,2024-12-19,2024-12-19 11:39:41.000000 UTC,gs://sheetz-data/loyalty/2024/12/19/batch_430c8809.parquet
2024-11-09 11:39:41.000000 UTC,2024-12-19 11:39:41.000000 UTC,1754758742370163,Lori,Brenda,Joseph,847 Garcia Squares Apt. 836,Suite 365,Rossville,WV,25981,USA,(254)752-7111x16152,+1-416-956-0494x51983,2024-11-09,,2024-11-12,,1,1976-01-01,Y,1,WV85694715,Walker,,2,S8619,2024-11-09,0,24,5198,S7043,49,2024-12-19,2024-12-19 11:39:41.000000 UTC,gs://sheetz-data/loyalty/2024/12/19/batch_2d697ab9.parquet
2024-01-10 11:39:41.000000 UTC,2024-12-19 11:39:41.000000 UTC,2482666730442528,Ashley,,Bruce,49368 Chelsea Shoals Suite 024,,Sandrastad,PA,15051,USA,(529)861-2018,(275)325-4599x10229,2024-01-10,,2024-03-08,2024-02-17,0,1968-01-03,Y,1,PA20200074,Nelson,,5,S4978,2024-01-10,5,716,2669,S5941,57,2024-12-19,2024-12-19 11:39:41.000000 UTC,gs://sheetz-data/loyalty/2024/12/19/batch_33cd035f.parquet
2020-03-13 11:39:41.000000 UTC,2024-12-19 11:39:41.000000 UTC,3109005543631294,Matthew,,Tucker,4381 Jordan Haven Suite 840,,South Tracey,PA,15449,USA,2349324451,001-862-226-8388x5160,2020-03-13,,2024-09-17,2024-07-07,9,2005-12-24,N,2,PA30534124,Stevens,,4,S3885,2020-03-13,87,17110,9548,S5425,19,2024-12-19,2024-12-19 11:39:41.000000 UTC,gs://sheetz-data/loyalty/2024/12/19/batch_1b8611a2.parquet
2021-07-06 11:39:41.000000 UTC,2024-12-19 11:39:41.000000 UTC,1418978448678712,Blake,,Edwards,664 Richard Islands Apt. 975,,South Meganbury,VA,23785,USA,001-468-316-4535,418.383.5523x12432,2021-07-06,,2024-07-12,2024-05-14,2,1966-01-03,Y,2,VA72372114,Thompson,,5,S7209,2021-07-06,46,9027,6511,S1470,59,2024-12-19,2024-12-19 11:39:41.000000 UTC,gs://sheetz-data/loyalty/2024/12/19/batch_f32cc885.parquet
2022-03-12 11:39:41.000000 UTC,2024-12-19 11:39:41.000000 UTC,2939175676095811,Raymond,,Snyder,995 Hernandez Cliff Suite 744,Apt. 581,Steventon,VA,22234,USA,(941)519-9867x980,997-982-0715x18203,2022-03-12,,2022-09-14,2022-07-31,1,2005-12-24,Y,2,VA73900135,Warren,,4,S8342,2022-03-12,14,1960,1282,S2524,19,2024-12-19,2024-12-19 11:39:41.000000 UTC,gs://sheetz-data/loyalty/2024/12/19/batch_75ed9215.parquet
2023-04-26 11:39:41.000000 UTC,2024-12-19 11:39:41.000000 UTC,3235707718765907,Leonard,,Cox,6590 Jones Court Suite 449,,West Christopher,WV,25280,USA,(346)829-1486x528,650.354.2357x33221,2023-04-26,,2023-12-31,2023-10-18,1,1953-01-06,N,2,WV43742830,Romero,,2,S2976,2023-04-26,9,2056,4155,S6169,72,2024-12-19,2024-12-19 11:39:41.000000 UTC,gs://sheetz-data/loyalty/2024/12/19/batch_aaf1fb0a.parquet
2024-04-18 11:39:41.000000 UTC,2024-12-19 11:39:41.000000 UTC,5810805844092117,Joshua,,Rodgers,592 Moore Falls,,Lake Samuel,WV,26383,USA,(737)994-7383x473,946.788.6239x240,2024-04-18,,2024-12-17,2024-12-17,1,1994-12-27,Y,2,WV46817443,Spencer,,1,S1893,2024-04-18,11,2715,5786,S3068,30,2024-12-19,2024-12-19 11:39:41.000000 UTC,gs://sheetz-data/loyalty/2024/12/19/batch_d78542cd.parquet
2021-05-22 11:39:41.000000 UTC,2024-12-19 11:39:41.000000 UTC,2928196116529082,Brian,Meghan,Rosales,24782 Davis Forges Suite 506,Apt. 685,South Virginia,OH,44536,USA,905.415.2204,,2021-05-22,,2024-02-21,2024-02-20,1,1964-01-04,Y,2,OH63782042,Blake,,4,S2213,2021-05-22,77,13122,1878,S3485,61,2024-12-19,2024-12-19 11:39:41.000000 UTC,gs://sheetz-data/loyalty/2024/12/19/batch_b4307066.parquet
2024-02-17 11:39:41.000000 UTC,2024-12-19 11:39:41.000000 UTC,2442006818481518,Julie,,Gilbert,43289 Rodriguez Heights,,West David,VA,22977,USA,(897)211-7980x89324,+1-253-896-2185x188,2024-02-17,,2024-07-21,2024-06-20,1,1941-01-09,N,1,VA50987442,Marks,,5,S1986,2024-02-17,11,1937,2625,S4404,84,2024-12-19,2024-12-19 11:39:41.000000 UTC,gs://sheetz-data/loyalty/2024/12/19/batch_b753f963.parquet
2021-06-16 11:39:41.000000 UTC,2024-12-19 11:39:41.000000 UTC,1855418974254978,Andrew,,Hughes,0515 Jessica Road Apt. 952,,West Amyburgh,PA,18807,USA,001-772-621-7043x030,868.874.0345x05415,2021-06-16,,2021-11-29,2021-11-07,1,1950-01-07,N,2,PA70939053,Paul,,1,S4824,2021-06-16,11,2042,5334,S4241,75,2024-12-19,2024-12-19 11:39:41.000000 UTC,gs://sheetz-data/loyalty/2024/12/19/batch_0a20231f.parquet
2022-08-01 11:39:41.000000 UTC,2024-12-19 11:39:41.000000 UTC,1815457752537880,Steven,Paul,Beltran,758 Owen Stream Suite 169,,New Kelly,PA,15841,USA,754-947-9627,4592640165,2022-08-01,,2023-03-19,2023-02-13,0,1951-01-07,N,2,PA68755000,Thomas,,1,S1653,2022-08-01,9,2382,8078,S6280,74,2024-12-19,2024-12-19 11:39:41.000000 UTC,gs://sheetz-data/loyalty/2024/12/19/batch_669e3ffd.parquet
2021-07-31 11:39:41.000000 UTC,2024-12-19 11:39:41.000000 UTC,2178484700178067,Lisa,,Harrington,13556 Cassie Springs,,Rushstad,WV,26519,USA,001-819-328-5654x31027,447-939-4731x217,2021-07-31,,2022-02-03,2021-11-09,1,1973-01-01,N,1,WV47333543,Osborn,,2,S8141,2021-07-31,12,1742,9056,S2494,52,2024-12-19,2024-12-19 11:39:41.000000 UTC,gs://sheetz-data/loyalty/2024/12/19/batch_a49ebec3.parquet
2022-05-01 11:39:41.000000 UTC,2024-12-19 11:39:41.000000 UTC,1999434292396742,Robert,,Ponce,518 Vance Vista Apt. 258,,North Tracie,PA,16138,USA,470.358.9578,446-778-6691,2022-05-01,,2023-04-07,2023-03-25,9,2002-12-25,N,2,PA79067939,Day,,1,S9889,2022-05-01,24,3792,8569,S7770,22,2024-12-19,2024-12-19 11:39:41.000000 UTC,gs://sheetz-data/loyalty/2024/12/19/batch_782231b1.parquet
2024-08-29 11:39:41.000000 UTC,2024-12-19 11:39:41.000000 UTC,2837687154715713,Joanna,,Frazier,89226 Marie Path Apt. 422,,Sarahbury,VA,23418,USA,441.443.8424x98182,+1-299-959-0010x94396,2024-08-29,,2024-10-14,2024-08-12,1,1973-01-01,Y,1,VA13874790,Small,,5,S4920,2024-08-29,2,395,3594,S6091,52,2024-12-19,2024-12-19 11:39:41.000000 UTC,gs://sheetz-data/loyalty/2024/12/19/batch_03a511b1.parquet
2021-11-16 11:39:41.000000 UTC,2024-12-19 11:39:41.000000 UTC,3415487897402228,Kimberly,,May,3647 Haley Estate Suite 677,,West Catherine,MD,21452,USA,001-355-662-5881x537,732.510.4696x325,2021-11-16,2024-03-30,2022-02-19,,1,1944-01-09,N,1,MD73380266,Hines,,2,S8483,2021-11-16,3,1007,3369,S7284,81,2024-12-19,2024-12-19 11:39:41.000000 UTC,gs://sheetz-data/loyalty/2024/12/19/batch_a36f9da6.parquet
2023-11-24 11:39:41.000000 UTC,2024-12-19 11:39:41.000000 UTC,6651797167850203,Jonathan,,Robertson,7016 Levy Forge Suite 004,,Harperfort,PA,17341,USA,+1-201-862-4565,,2023-11-24,,2024-08-10,2024-07-24,1,1964-01-04,N,2,PA88777447,Williams,,5,S9022,2023-11-24,26,3585,3434,S8316,61,2024-12-19,2024-12-19 11:39:41.000000 UTC,gs://sheetz-data/loyalty/2024/12/19/batch_b03c842d.parquet
2021-12-11 11:39:41.000000 UTC,2024-12-19 11:39:41.000000 UTC,2041211303751902,Kristina,Michael,Roberts,784 David Court Suite 558,,Kariborough,NC,28239,USA,468.700.0257x87298,+1-652-969-4958x887,2021-12-11,,2023-10-22,2023-08-14,1,1958-01-05,N,1,NC61818612,Cabrera,,2,S9115,2021-12-11,33,4534,1606,S3068,67,2024-12-19,2024-12-19 11:39:41.000000 UTC,gs://sheetz-data/loyalty/2024/12/19/batch_d0c71f8e.parquet
2022-02-24 11:39:41.000000 UTC,2024-12-19 11:39:41.000000 UTC,2281584405722426,Jacob,,Nunez,409 Baker Shoal Apt. 097,,New Cristina,OH,45539,USA,001-562-830-9130x75626,997.702.8385x78652,2022-02-24,,2024-01-04,,1,2005-12-24,N,2,OH45570755,Payne,,3,S7512,2022-02-24,66,8990,2315,S6383,19,2024-12-19,2024-12-19 11:39:41.000000 UTC,gs://sheetz-data/loyalty/2024/12/19/batch_0eb2ccf7.parquet
2020-03-09 11:39:41.000000 UTC,2024-12-19 11:39:41.000000 UTC,2308287932350118,Megan,,Dillon,733 Grant Fork Suite 437,,Timothyside,OH,45956,USA,341-798-6652x404,,2020-03-09,,2023-03-06,2023-01-25,1,1976-12-31,N,1,OH23212812,Bradshaw,,1,S8269,2020-03-09,42,7728,3725,S5906,48,2024-12-19,2024-12-19 11:39:41.000000 UTC,gs://sheetz-data/loyalty/2024/12/19/batch_bc51d645.parquet
2024-10-20 11:39:41.000000 UTC,2024-12-19 11:39:41.000000 UTC,7350999224992864,Mary,,Burgess,84842 Christina Radial,,East Brent,PA,19351,USA,230.416.5712,(877)434-5401x93802,2024-10-20,2024-12-14,2024-10-23,,1,1976-01-01,Y,1,PA91804602,Peck,,4,S4945,2024-10-20,0,21,9153,S3344,49,2024-12-19,2024-12-19 11:39:41.000000 UTC,gs://sheetz-data/loyalty/2024/12/19/batch_1a6761f3.parquet
2023-08-31 11:39:41.000000 UTC,2024-12-19 11:39:41.000000 UTC,6475307914838160,Amanda,,Huff,40049 Sarah Isle Suite 788,,Smallberg,WV,26766,USA,543.415.2742x054,+1-566-285-1612x275,2023-08-31,,2024-01-08,2023-10-15,1,1997-12-26,N,1,WV43567615,Green,,4,S5949,2023-08-31,13,1769,4263,S7302,27,2024-12-19,2024-12-19 11:39:41.000000 UTC,gs://sheetz-data/loyalty/2024/12/19/batch_8434d822.parquet
2020-03-07 11:39:41.000000 UTC,2024-12-19 11:39:41.000000 UTC,2911039204208209,David,,Molina,9904 Schwartz Circle Apt. 742,,Parksport,NC,28419,USA,945-793-3272,(387)283-3918x78519,2020-03-07,,2021-07-05,2021-05-21,1,2004-12-24,Y,2,NC91390501,Poole,,4,S5689,2020-03-07,29,4953,4770,S6772,20,2024-12-19,2024-12-19 11:39:41.000000 UTC,gs://sheetz-data/loyalty/2024/12/19/batch_dcb50f99.parquet
2023-09-27 11:39:41.000000 UTC,2024-12-19 11:39:41.000000 UTC,1837337534123785,Stephanie,,Harris,58713 Davis Pass,Suite 072,Bryantton,WV,26594,USA,+1-240-364-0391x06518,404.762.2656x7661,2023-09-27,,2024-08-09,2024-05-17,1,1968-01-03,N,1,WV53851498,Wilson,,4,S3877,2023-09-27,10,3025,4289,S3165,57,2024-12-19,2024-12-19 11:39:41.000000 UTC,gs://sheetz-data/loyalty/2024/12/19/batch_78f9cbc8.parquet
2020-07-22 11:39:41.000000 UTC,2024-12-19 11:39:41.000000 UTC,1915774714194747,Willie,,Long,300 Ford Stravenue,,Patelbury,PA,17028,USA,352.343.1069x033,+1-207-490-3067x383,2020-07-22,,2022-08-10,2022-07-07,9,1970-01-02,Y,2,PA40281491,Gordon,,4,S6992,2020-07-22,48,6753,2479,S7464,55,2024-12-19,2024-12-19 11:39:41.000000 UTC,gs://sheetz-data/loyalty/2024/12/19/batch_935733a4.parquet
2024-11-20 11:39:41.000000 UTC,2024-12-19 11:39:41.000000 UTC,1960807529302973,Dylan,,Cabrera,953 Walter Shore Apt. 644,,New Stacyburgh,WV,26450,USA,+1-470-656-8566,(428)873-3427x0866,2024-11-20,,2024-11-23,2024-11-02,0,1993-12-27,N,2,WV91883846,Sanchez,,2,S2035,2024-11-20,0,29,8606,S5951,31,2024-12-19,2024-12-19 11:39:41.000000 UTC,gs://sheetz-data/loyalty/2024/12/19/batch_9a00c130.parquet
2021-04-29 11:39:41.000000 UTC,2024-12-19 11:39:41.000000 UTC,3011731995036232,Christina,,Lucas,1830 Bennett Rapids Apt. 139,Apt. 735,Susantown,OH,43868,USA,717.639.3638,(578)754-4587x7175,2021-04-29,,2022-02-09,2022-02-05,1,1976-12-31,N,1,OH88831486,Edwards,,2,S7797,2021-04-29,10,2413,2622,S9017,48,2024-12-19,2024-12-19 11:39:41.000000 UTC,gs://sheetz-data/loyalty/2024/12/19/batch_e3a5253c.parquet
2021-07-07 11:39:41.000000 UTC,2024-12-19 11:39:41.000000 UTC,2883011063443273,Angel,Michelle,Figueroa,8996 Hernandez Isle,,South Ashley,PA,17014,USA,485.247.7725x2287,,2021-07-07,,2023-01-30,2022-12-14,0,1962-01-04,N,2,PA22304198,Warren,,2,S1349,2021-07-07,24,5973,1828,S6464,63,2024-12-19,2024-12-19 11:39:41.000000 UTC,gs://sheetz-data/loyalty/2024/12/19/batch_0a04233d.parquet
2023-08-08 11:39:41.000000 UTC,2024-12-19 11:39:41.000000 UTC,3283645609536924,Sara,,Jones,62312 Jeffery Motorway,Suite 099,Hopkinstown,WV,24728,USA,+1-286-800-8484,,2023-08-08,,2024-09-13,2024-09-05,1,1977-12-31,Y,1,WV27447248,Drake,,5,S5106,2023-08-08,34,4873,3858,S2801,47,2024-12-19,2024-12-19 11:39:41.000000 UTC,gs://sheetz-data/loyalty/2024/12/19/batch_118723bd.parquet
